Instancia, Vo, %dHeurPlanos, %dHeur, tHeur (seg) 
D0, 109, 0, 1025.69, 0
D1, 115, 0, 1075.65, 0
D2, 274, 0, 261.679, 0
D3, 172, 0, 491.279, 0
D4, 210, 0, 419.048, 0
D5, 313, 0, 161.342, 0
D6, 166, 0, 47.5904, 0
D7, 260, 0, 550.385, 0
D8, 457, 0, 7.43983, 0
D9, 160, 0, 1458.12, 0
D10, 0, 0, 0, 0
D11, 398, 0, 140.704, 1
D12, 280, 0, 937.5, 0
D13, 717, 7.67085, 167.364, 0
D14, 810, 0, 53.3333, 0
D15, 702, 0, 346.581, 0
D16, 980, 1.53061, 82.551, 0
D17, 1115, 4.03587, 165.202, 0
D18, 515, 0, 80.9709, 0
D19, 509, 0, 67.9764, 0
D20, 457, 0, 704.814, 0
D21, 1000, 2.4, 389.4, 0
D22, 989, 0, 111.426, 0
D23, 968, 0, 142.252, 0
D24, 1463, 0, 45.2495, 0
D25, 1317, 0, 85.5733, 0
D26, 1625, 0.923077, 106.215, 0
D27, 549, 8.74317, 102.368, 0
D28, 815, 3.55828, 268.589, 0
D29, 55, -840, 2321.82, 0
D30, 1378, 0, 118.578, 0
D31, 1503, 0, 113.506, 0
D32, 1066, 3.56473, 217.917, 0
D33, 2074, 0, 82.6905, 0
D34, 1806, 0, 200.997, 0
D35, 1901, 4.26092, 93.0037, 0
