Instancia, Vo, %dHeurPlanos, %dHeur, tHeur (seg) 
G0, 0, 0, 0, 0
G1, 0, 0, 0, 0
G2, 0, 0, 0, 0
G3, 2, 0, 0, 0
G4, 0, 0, 0, 0
G5, 4, 0, 0, 0
G6, 9, 0, 0, 0
G7, 1, 0, 0, 0
G8, 4, 0, 0, 0
G9, 2, 0, 0, 0
G10, 0, 0, 0, 0
G11, 4, 0, 0, 0
G12, 15, 0, 0, 0
G13, 11, 0, 0, 0
G14, 14, 0, 0, 0
G15, 26, 0, 0, 0
G16, 20, 0, 0, 0
G17, 24, 0, 0, 0
G18, 8, 0, 0, 0
G19, 6, 0, 0, 0
G20, 9, 0, 0, 0
G21, 32, 0, 0, 0
G22, 32, 0, 0, 0
G23, 33, 0, 0, 0
G24, 57, 0, 0, 0
G25, 46, 0, 0, 0
G26, 57, 0, 0, 0
G27, 14, 0, 0, 0
G28, 23, 0, 0, 0
G29, 14, 0, 0, 0
G30, 50, 0, 0, 0
G31, 54, 0, 0, 0
G32, 57, 0, 0, 0
G33, 92, 0, 0, 0
G34, 86, 0, 0, 0
G35, 88, 0, 0, 0
