Instancia, Vo, %dHeurPlanos, %dHeur, tHeur (seg) 
R0, 1742, 0, 1603.73, 0
R1, 4253, 0, 172.49, 0
R2, 5638, 0, 470.539, 0
R3, 18453, 0, 160.51, 0
R4, 17316, 0, 417.019, 0
R5, 398, 0, 3014.32, 0
R6, 12478, 0, 83.1463, 0
R7, 9405, 0, 189.282, 0
R8, 14847, 0, 1304.74, 0
R9, 17405, 0, 963.93, 0
R10, 7125, 0, 1151.79, 0
R11, 1493, 0, 1112.73, 0
R12, 32453, 6.12886, 235.726, 0
R13, 30732, 0, 472.748, 0
R14, 27791, 0, 96.4557, 0
R15, 10533, 0, 86.3856, 0
R16, 4276, 6.43124, 245.229, 0
R17, 28462, 0, 199.209, 0
R18, 26873, 0, 250.776, 0
R19, 0, 0, 0, 0
